CodProfesionUOficio,Descripción,"Estado (1-Inactivo, 2- Activo)"
814,Visitador médico,2
815,Representante  de  ventas / productos tecnológicos,2
816,Representante     de  ventas / TICs,2
817,Representante    de  ventas / software,2
818,Representante    de  ventas / hardware,2
819,Profesional de ventas de equipo tecnológico,2
820,Representante de ventas de computadoras,2
821,Representante  de ventas de programas informáticos,2
822,Representante de ventas equipo telecomunicaciones,2
823,Analista de  sistemas informáticos,2
824,Ingeniero en sistemas,2
825,Consultor en sistemas informáticos,2
826,Diseñador  de software,2
827,Desarrollador  de software ,2
828,Programador en  animación,2
829,Desarrollador de juegos de video,2
830,Programador  multimedia,2
831,Desarrollador de sitios web,2
832,Desarrollador  multimedia,2
833,Desarrollador  aplicaciones internet,2
834,Programador de  aplicaciones,2
835,Ingeniero logical,2
836,Programador de aplicaciones informáticas,2
837,Verificador de  programas informáticos,2
838,Analista  de aseguramiento / calidad (computadoras) ,2
839,Verificador  de software,2
840,Verificador  de sistemas informáticos,2
841,Verificador  de multimedia,2
842,Programador  de banco de datos,2
843,Administrador  de bases de datos,2
844,Analista de bases de datos,2
845,Diseñador de bases de datos,2
846,Administrador de  sistemas informáticos,2
847,Administrador de redes  informáticas,2
848,Auditor de   sistemas computacionales,2
849,Analista de  red / computadoras,2
850,Analista de redes informáticas ,2
851,Especialista  en seguridad / TICs,2
852,Verificador de bases de datos,2
853,Especialista en seguridad de telecomunicaciones,2
854,Encargado de seguridad informática,2
855,Abogado,2
856,Abogado  civilista,2
857,Abogado  criminalista,2
858,Actuario  judicial,2
859,Agente fiscal / tribunales de justicia,2
860,Asesor   jurídico,2
861,Asesor legal,2
862,Consejero jurídico de empresa,2
863,Consejero jurídico de impuestos,2
864,Defensor público / tribunales de justicia,2
865,Fiscal,2
